Labour Force Population	MDAs Revenue	Number of Records	Othregna	Tax type	Tax value	Population density	Population	Regname	Total Employed	Total Unemployed	Total tax	Total	Km^2	Literacy Rate (In%)
1362013.642	36985521.64	1	South South	Road Tax	12373180.81	158.2210155	1704515	Bayelsa	918576.3358	443437.3067	2457898482	2494884003	10773	62
2777485.249	958237799	1	North Central	Road Tax	216932446	124.8903667	4253641	Benue	2218229.987	559255.2622	1841347381	2799585180	34059	45.1
2468889.844	590256865.3	1	North East	Road Tax	98278117	58.83246354	4171104	Borno	1693826.943	775062.9016	1532985974	2123242839	70898	14.5
1936997.976	627378702.6	1	South South	Road Tax	178996188.5	143.529867	2892988	Cross River	1343610.574	593387.4021	2256976853	2884355555	20156	62.3
3120369.51	1259805788	1	South South	Road Tax	177454357.7	232.3677817	4112445	Delta	2329084.999	791284.5103	11859538241	13119344029	17698	65.7
1528582.172	164312741.2	1	South East	Road Tax	60493770	383.9412698	2176947	Ebonyi	1205683.617	322898.5552	1560227648	1724540389	5670	53
2095235.333	2305913904	1	South South	Road Tax	203024930.5	181.6293675	3233366	Edo	1569481.293	525754.0392	4517276784	6823190689	17802	45.8
1770459.249	238373509.2	1	South West	Road Tax	33987774.95	377.6101055	2398957	Ekiti	1412959.576	357499.6725	3012540058	3250913567	6353	74.7
2467331.567	1431402776	1	South East	Road Tax	228382610	456.3380813	3267837	Enugu	2006869.132	460462.4351	2753268747	4184671523	7161	66.5
1736234.752	0	1	North Central	Road Tax	0	192.0985646	1405201	FCT Abuja	1312485.278	423749.4741	17151971894	17151971894	7315	61.4
995947.1922	60109483.27	1	North East	Road Tax	22782875	126.0144928	2365040	Gombe	727056.5354	268890.6567	2092708093	2152817576	18768	39.3
3123271.134	289213783.9	1	South East	Road Tax	80755831.56	710.2283906	3927563	Imo	2242920.268	880350.8665	2267344038	2556557822	5530	53.2
1553869.891	540625083.8	1	North West	Road Tax	132884980.9	188.3476721	4361002	Jigawa	1141942.717	411927.1732	3148262380	3688887463	23154	24.2
3504776.637	2139401074	1	North West	Road Tax	128944895	132.7492889	6113503	Kaduna	2564296.158	940480.4783	3607184993	5746586067	46053	29.3
4022761.244	3080858639	1	North West	Road Tax	138818424.3	467.0055139	9401288	Kano	2765631.259	1257129.985	4159926681	7240785320	20131	48.9
1799855.083	97455745	1	North West	Road Tax	27492622	239.8141534	5801584	Katsina	1542017.875	257837.2082	1705020662	1802476407	24192	21.7
